type    ,sharpening ,windowSize ,neighbourhood ,buckets ,histnormalise ,k-nearest ,auc                ,precision           ,recall
moran   ,direct     ,         3 ,euclidean     ,     60 ,row           ,        3 ,0.7593984962406015 ,0.8                 ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,     60 ,row           ,        4 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,     60 ,row           ,        5 ,0.7189849624060152 ,0.8666666666666667  ,0.4642857142857143
moran   ,direct     ,         3 ,euclidean     ,     60 ,row           ,        6 ,0.7612781954887217 ,0.9375              ,0.5357142857142857
moran   ,direct     ,         3 ,euclidean     ,     90 ,row           ,        2 ,0.7885338345864662 ,0.782608695652174   ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,     90 ,row           ,        3 ,0.7772556390977444 ,0.8095238095238095  ,0.6071428571428571
moran   ,direct     ,         3 ,euclidean     ,     90 ,row           ,        4 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,     90 ,row           ,        5 ,0.6832706766917294 ,0.8461538461538461  ,0.39285714285714285
moran   ,direct     ,         3 ,euclidean     ,     90 ,row           ,        6 ,0.6898496240601504 ,0.9166666666666666  ,0.39285714285714285
moran   ,direct     ,         3 ,euclidean     ,    120 ,row           ,        2 ,0.8486842105263158 ,0.84                ,0.75
moran   ,direct     ,         3 ,euclidean     ,    120 ,row           ,        3 ,0.8129699248120302 ,0.8260869565217391  ,0.6785714285714286
moran   ,direct     ,         3 ,euclidean     ,    120 ,row           ,        4 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,    120 ,row           ,        5 ,0.7189849624060152 ,0.8666666666666667  ,0.4642857142857143
moran   ,direct     ,         3 ,euclidean     ,    120 ,row           ,        6 ,0.7434210526315789 ,0.9333333333333333  ,0.5
moran   ,direct     ,         3 ,euclidean     ,    150 ,row           ,        2 ,0.7330827067669173 ,0.6666666666666666  ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,    150 ,row           ,        3 ,0.7593984962406015 ,0.8                 ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,    150 ,row           ,        4 ,0.7415413533834586 ,0.7894736842105263  ,0.5357142857142857
moran   ,direct     ,         3 ,euclidean     ,    150 ,row           ,        5 ,0.7011278195488722 ,0.8571428571428571  ,0.42857142857142855
moran   ,direct     ,         3 ,euclidean     ,    150 ,row           ,        6 ,0.7255639097744361 ,0.9285714285714286  ,0.4642857142857143
moran   ,direct     ,         5 ,grid          ,     30 ,none          ,        2 ,0.6907894736842104 ,0.6086956521739131  ,0.5
moran   ,direct     ,         5 ,grid          ,     30 ,none          ,        3 ,0.7236842105263158 ,0.7777777777777778  ,0.5
moran   ,direct     ,         5 ,grid          ,     30 ,none          ,        4 ,0.7283834586466165 ,0.7142857142857143  ,0.5357142857142857
moran   ,direct     ,         5 ,grid          ,     30 ,none          ,        5 ,0.68609022556391   ,0.65                ,0.4642857142857143
moran   ,direct     ,         5 ,grid          ,     30 ,none          ,        6 ,0.7283834586466165 ,0.7142857142857143  ,0.5357142857142857
moran   ,direct     ,         5 ,grid          ,     60 ,none          ,        2 ,0.7218045112781954 ,0.6818181818181818  ,0.5357142857142857
moran   ,direct     ,         5 ,grid          ,     60 ,none          ,        3 ,0.7152255639097744 ,0.6521739130434783  ,0.5357142857142857
